,Playlist,Link,Title,Status
0,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=J3SiyMingRk,How to INSTALL and SETUP Outlook with Python | win32com | pywin32,Failed
1,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=OPiBtQxELSU,How to send PLAIN TEXT EMAIL from Outlook using Python,Failed
2,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=ZvmFHwAjXHI,How to send HTML formatted email in Outlook with Python,Failed
3,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=b7_bW45G_1o,How to add ATTACHMENTS to an email in Outlook with Python,Failed
4,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=M743y6cOEXc,How to Create and use EMAIL TEMPLATES to automate mail-merge,Failed
5,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=lhDnVYJD25Y,Methods for working around Microsoft's email SENDING LIMITS,Failed
6,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=amti8ObCDfg,How to work around SENDING LIMITS by CHUNKING a distribution,Failed
7,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=xKJbmFASH9g,How to send BULK MAIL from Outlook using Python # 1,Failed
8,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=ECE6DL8CT7c,How to NAVIGATE and MANAGE Outlook FOLDERS using Python,Failed
9,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=1rLqncriiiI,How to MANAGE mail contained in your EMAIL FOLDERS with Python,Failed
10,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=ztI7bNBh-BQ,How to send BULK EMAIL from Outlook using Python # 2,Failed
11,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=iP1Ko9sFkzs,How to SEARCH and ORGANIZE your mailbox with Python,Failed
12,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=F8FrTrn1NbA,How to insert EXCEL tables into OUTLOOK email with Python,Failed
13,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=N7Gqet9FSjA,Create a custom command ribbon for Python scripts | Run python from VBA,Failed
14,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=j5R2Cqu3pdA,How to SEND email from ANOTHER ACCOUNT In Outlook | Python Outlook Automation,Failed
15,Python Outlook Automation | pywin32,https://www.youtube.com/watch?v=y7zEtV4yRVs,Add SHADOWS to your email IMAGE | Outlook Python pywin32,Failed
